Item Number,Description,Color,Cost,Image URL,,,
MAPN,Mini Animal Popit,Narwhal/Blue,50,https://drive.google.com/file/d/1NAAbU1UBqd4SiptczvZvbrDxtBFOotd0/view?usp=share_link,,,
MAPR,Mini Animal Popit,Racoon/Purple,50,https://drive.google.com/file/d/1NAAbU1UBqd4SiptczvZvbrDxtBFOotd0/view?usp=share_link,,,
MAPO,Mini Animal Popit,Owl/Yellow,50,https://drive.google.com/file/d/1NAAbU1UBqd4SiptczvZvbrDxtBFOotd0/view?usp=share_link,,,
MAPU,Mini Animal Popit,Unicorn/Pink,50,https://drive.google.com/file/d/1NAAbU1UBqd4SiptczvZvbrDxtBFOotd0/view?usp=share_link,,,
SQUISHW,"12"" Squishmallow",Whale,1500,https://drive.google.com/file/d/1Y0pczzwnKmiJVLwL4WtKQAoqAscBYEDD/view?usp=share_link,,,
SQUISHSS,"12"" Squishmallow",Seashell,1500,https://drive.google.com/file/d/1Y0pczzwnKmiJVLwL4WtKQAoqAscBYEDD/view?usp=share_link,,,
SQUISHF,"12"" Squishmallow",Flamingo,1500,https://drive.google.com/file/d/1Y0pczzwnKmiJVLwL4WtKQAoqAscBYEDD/view?usp=share_link,,,
SQUISHO,"12"" Squishmallow",Octopus,1500,https://drive.google.com/file/d/1Y0pczzwnKmiJVLwL4WtKQAoqAscBYEDD/view?usp=share_link,,,
SQUISHSR,"12"" Squishmallow",Stingray,1500,https://drive.google.com/file/d/1Y0pczzwnKmiJVLwL4WtKQAoqAscBYEDD/view?usp=share_link,,,
SQUISHN,"12"" Squishmallow",Narwhal,1500,https://drive.google.com/file/d/1Y0pczzwnKmiJVLwL4WtKQAoqAscBYEDD/view?usp=share_link,,,
UNIGLI,Unicorn Glider,,4,https://drive.google.com/file/d/1hG4hs3KgN-dLpWv-Hmlo5ORKV23ewtA4/view?usp=share_link,,,
GLIDERB,Mini Plane Glider,Black,3,https://drive.google.com/file/d/1HIwIqUPbaDeB39Xiatmb-zWTqqujAmIA/view?usp=share_link,,,
GLIDERRE,Mini Plane Glider,Red,3,https://drive.google.com/file/d/1HIwIqUPbaDeB39Xiatmb-zWTqqujAmIA/view?usp=share_link,,,
GLIDERW,Mini Plane Glider,White,3,https://drive.google.com/file/d/1HIwIqUPbaDeB39Xiatmb-zWTqqujAmIA/view?usp=share_link,,,
GLIDERRW,Mini Plane Glider,Rainbow,3,https://drive.google.com/file/d/1HIwIqUPbaDeB39Xiatmb-zWTqqujAmIA/view?usp=share_link,,,
CHIYOB,Chinese Yo-Yo,Blue,3,https://drive.google.com/file/d/1_QxUR81ZwDTQLPRxYhL8liEX8w70rPKN/view?usp=share_link,,,
CHIYOP,Chinese Yo-Yo,Dot,3,https://drive.google.com/file/d/1_QxUR81ZwDTQLPRxYhL8liEX8w70rPKN/view?usp=share_link,,,
CHIYOR,Chinese Yo-Yo,Red,3,https://drive.google.com/file/d/1_QxUR81ZwDTQLPRxYhL8liEX8w70rPKN/view?usp=share_link,,,
WUPCO,Wind-Up Crab,Orange,3,https://drive.google.com/file/d/1GiRD2YedqG8ozAYXpQJ3wLKckqTXOElV/view?usp=share_link,,,
WUPCP,Wind-Up Crab,Pink,3,https://drive.google.com/file/d/1GiRD2YedqG8ozAYXpQJ3wLKckqTXOElV/view?usp=share_link,,,
WUPCY,Wind-Up Crab,Yellow,3,https://drive.google.com/file/d/1GiRD2YedqG8ozAYXpQJ3wLKckqTXOElV/view?usp=share_link,,,
WUPCG,Wind-Up Crab,Green,3,https://drive.google.com/file/d/1GiRD2YedqG8ozAYXpQJ3wLKckqTXOElV/view?usp=share_link,,,
FOOT,Full Sized Football,,400,https://drive.google.com/file/d/1KUwWxrDhoYmoWhEYgwP-_dRY024YdfLh/view?usp=share_link,,,
BASKET,Full Sized Basketball,,400,https://drive.google.com/file/d/1JFHFJu6ztT9VgfjjGfCKU72b8HsL2920/view?usp=share_link,,,
SOCCER,Full Sized Soccer Ball,,400,https://drive.google.com/file/d/1JFHFJu6ztT9VgfjjGfCKU72b8HsL2920/view?usp=share_link,,,
MFOOTR,Mini Football,Red,100,https://drive.google.com/file/d/1y6QggcrCJuOR1mIAuUv4ufDm-XYSp7X-/view?usp=share_link,,,
MFOOTO,,Orange,100,https://drive.google.com/file/d/1y6QggcrCJuOR1mIAuUv4ufDm-XYSp7X-/view?usp=share_link,,,
MFOOTY,,Yellow,100,https://drive.google.com/file/d/1y6QggcrCJuOR1mIAuUv4ufDm-XYSp7X-/view?usp=share_link,,,
MFOOTG,,Green,100,https://drive.google.com/file/d/1y6QggcrCJuOR1mIAuUv4ufDm-XYSp7X-/view?usp=share_link,,,
MFOOTB,,Blue,100,https://drive.google.com/file/d/1y6QggcrCJuOR1mIAuUv4ufDm-XYSp7X-/view?usp=share_link,,,
MFOOTP,,Purple,100,https://drive.google.com/file/d/1y6QggcrCJuOR1mIAuUv4ufDm-XYSp7X-/view?usp=share_link,,,
MBASKR,Mini Basketball,Red,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MBASKO,,Orange,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MBASKY,,Yellow,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MBASKG,,Green,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MBASKB,,Blue,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MBASKP,,Purple,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MSOCCR,Mini Soccer Ball,Red,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MSOCCO,,Orange,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MSOCCY,,Yellow,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MSOCCG,,Green,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MSOCCB,,Blue,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
MSOCCP,,Purple,100,https://drive.google.com/file/d/1HGChNZdOjDtE7mhonDAYr785JH1plxSg/view?usp=share_link,,,
GLODSG,Glow In The Dark Slime,Green,10,https://drive.google.com/file/d/1az3RpMHy8UCcq0jJ4llsOyIWCf7YJH0C/view?usp=share_link,,,
GLODSY,Glow In The Dark Slime,Yellow,10,https://drive.google.com/file/d/1az3RpMHy8UCcq0jJ4llsOyIWCf7YJH0C/view?usp=share_link,,,
GLODSO,Glow In The Dark Slime,Orange,10,https://drive.google.com/file/d/1az3RpMHy8UCcq0jJ4llsOyIWCf7YJH0C/view?usp=share_link,,,
GLONY,Glow Necklace,Yellow,5,https://drive.google.com/file/d/1tlcNViazlD8-eBGwAXQdxmqtjooVRRZv/view?usp=share_link,,,
GLONR,Glow Necklace,Red,5,https://drive.google.com/file/d/1tlcNViazlD8-eBGwAXQdxmqtjooVRRZv/view?usp=share_link,,,
GLONB,Glow Necklace,Blue,5,https://drive.google.com/file/d/1tlcNViazlD8-eBGwAXQdxmqtjooVRRZv/view?usp=share_link,,,
GLONO,Glow Necklace,Orange,5,https://drive.google.com/file/d/1tlcNViazlD8-eBGwAXQdxmqtjooVRRZv/view?usp=share_link,,,
GLONP,Glow Necklace,Purple,5,https://drive.google.com/file/d/1tlcNViazlD8-eBGwAXQdxmqtjooVRRZv/view?usp=share_link,,,
GLONG,Glow Necklace,Green,5,https://drive.google.com/file/d/1tlcNViazlD8-eBGwAXQdxmqtjooVRRZv/view?usp=share_link,,,
GLORPI,Glow Ring,Pink,5,https://drive.google.com/file/d/1SEh5tBTInp-ZLd3bhckSNOAl2b0rVNt0/view?usp=share_link,,,
GLORG,Glow Ring,Green,5,https://drive.google.com/file/d/1SEh5tBTInp-ZLd3bhckSNOAl2b0rVNt0/view?usp=share_link,,,
GLORY,Glow Ring,Yellow,5,https://drive.google.com/file/d/1SEh5tBTInp-ZLd3bhckSNOAl2b0rVNt0/view?usp=share_link,,,
GLORO,Glow Ring,Orange,5,https://drive.google.com/file/d/1SEh5tBTInp-ZLd3bhckSNOAl2b0rVNt0/view?usp=share_link,,,
GLORB,Glow Ring,Blue,5,https://drive.google.com/file/d/1SEh5tBTInp-ZLd3bhckSNOAl2b0rVNt0/view?usp=share_link,,,
GLORPU,Glow Ring,Purple,5,https://drive.google.com/file/d/1SEh5tBTInp-ZLd3bhckSNOAl2b0rVNt0/view?usp=share_link,,,
GLOSG,Glow Sunglasses,Green/Hearts,40,https://drive.google.com/file/d/1uM61OoRgIWD7lIUFKlIOyFSfAqaRnq0-/view?usp=share_link,,,
GLOSB,Glow Sunglasses,Blue/Stars,40,https://drive.google.com/file/d/1uM61OoRgIWD7lIUFKlIOyFSfAqaRnq0-/view?usp=share_link,,,
GLOSY,Glow Sunglasses,Yellow/Stars,40,https://drive.google.com/file/d/1uM61OoRgIWD7lIUFKlIOyFSfAqaRnq0-/view?usp=share_link,,,
GLOSP,Glow Sunglasses,Purple/Hearts,40,https://drive.google.com/file/d/1uM61OoRgIWD7lIUFKlIOyFSfAqaRnq0-/view?usp=share_link,,,
MINIB,Mini Inflatable Basketball,,20,https://drive.google.com/file/d/1mUit7Ev5gwW35K1knIgEqew4KyavGF6M/view?usp=share_link,,,
CBEACH,Classic Beachball,,30,https://drive.google.com/file/d/1tkD-12InxfjZaf8YlwAQWUFbOLLetmnp/view?usp=share_link,,,
BBEACH,Bright Beachball,,30,https://drive.google.com/file/d/1_4YVCfPH9BW91n9yr-9eXxX5PtoBHXM0/view?usp=share_link,,,
GTBEAR,Giant Teddy Bear,,5000,https://drive.google.com/file/d/1xBGFM6ltyh17QGVFZ1zWqEXuykVOi07E/view?usp=share_link,,,
FOLW,Fiber Optic Wand,,100,https://drive.google.com/file/d/1zGYTaFxmchfqaaViqus4UVWwKfKSRw4i/view?usp=share_link,,,
LUYY,Light Up Yo-Yo,,20,https://drive.google.com/file/d/1Zqfvd_QsvgcEcJpiMh40wRttKv56cMth/view?usp=share_link,,,
GLOSWO,Glow Sword,,75,https://drive.google.com/file/d/1y2hbePijpoY7Jl_o57Nxt1oGb3IVUsvX/view?usp=share_link,,,
LUGB,Light Up Glitter Ball,,4,https://drive.google.com/file/d/172SNH5xwxLPcshEnlnVVnDinSn51R18z/view?usp=share_link,,,
MMWL,Marble Maze w/ Lights,,300,https://drive.google.com/file/d/1ZdH8WV_P9beM7GVRZLgEHOjPINfbRdLA/view?usp=share_link,,,     
MMWOL,Marble Maze,,250,https://drive.google.com/file/d/1jNxFP_dO-jCdp0Di8QIDscfzrSGW3m1X/view?usp=share_link,,,
FOLL,Fiber Optic Lamp,,275,https://drive.google.com/file/d/1Bdwm4wRmtKG14T3IIBNTGVT57R4SbIoe/view?usp=share_link,,,
MBUBPR,Mini Bubbler,Purple/Red,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
MBUBBY,Mini Bubbler,Blue/Yellow,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
MBUBGP,Mini Bubbler,Green/Pink,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
MBUBBP,Mini Bubbler,Blue/Pink,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
FISLU,Fidget Slug,,15,https://drive.google.com/file/d/19CzTuJ2crJDaLGwrSKJCz433AFL4vLWj/view?usp=share_link,,,
FRISB,Flying Disk,,10,https://drive.google.com/file/d/1nBno9Ew84JMaSEYzaPvsEXrHLu8HzSHF/view?usp=share_link,,,
SPIWAT,Spiderman Watch,,500,https://drive.google.com/file/d/19U63rsPE5kdns2XDJ6Yyhc7t6Z_72xWT/view?usp=share_link,,,
TROWAT,Trolls Watch,,500,https://drive.google.com/file/d/1x61_Ukatc2CToKpNJF4w7vluGlzD4hFs/view?usp=share_link,,,
BOHPL,Boh Plush,,500,https://drive.google.com/file/d/1GosvUuQIfCg9yD2-v0rft8a_BePZnIrY/view?usp=share_link,,,
GLSLK,Glitter Slime Kit,,100,https://drive.google.com/file/d/1W_p3uBmGxgAvN3IlHXSJQps-ejAVmej7/view?usp=share_link,,,
MINISB,Mini Skateboard,,1,https://drive.google.com/file/d/1S1RDdleEfTF7qE06KYfyRe4x3ai0NAuh/view?usp=share_link,,,
MINICR,Mini Cars,Red,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICO,Mini Cars,Orange,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICY,Mini Cars,Yellow,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICB,Mini Cars,Blue,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICG,Mini Cars,Green,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICP,Mini Cars,Purple,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
BOUUNIPI,Unicorn Bouncy Balls,Pink,1,https://drive.google.com/file/d/1R8GWNztlF8U4c8NX6P00lJQy9CAtN-O-/view?usp=share_link,,,
BOUUNIPU,Unicorn Bouncy Balls,Purple,1,https://drive.google.com/file/d/1R8GWNztlF8U4c8NX6P00lJQy9CAtN-O-/view?usp=share_link,,,
BOUUNIB,Unicorn Bouncy Balls,Blue,1,https://drive.google.com/file/d/1R8GWNztlF8U4c8NX6P00lJQy9CAtN-O-/view?usp=share_link,,,
PLAY4,Playstation 4,,8500,https://drive.google.com/file/d/13pl2wIt9n4z5LhGrWqekuh7Nrr5uIYxP/view?usp=share_link,,,
PLAY5,Playstation 5,,10000,https://drive.google.com/file/d/18D96G-a5ZFAoSkX9LnC7wq2dYSOh0aod/view?usp=share_link,,,
XBOX,XBOX,,7500,https://drive.google.com/file/d/16wMF_cAeUXSic9AG9b1ThHSxR70wNGMn/view?usp=share_link,,,
SWITCH,Nintendo Switch,,8000,https://drive.google.com/file/d/16wMF_cAeUXSic9AG9b1ThHSxR70wNGMn/view?usp=share_link,,,
